exited January 05, 2017 at 04:16PM 
entered January 06, 2017 at 07:37AM 
exited January 06, 2017 at 03:52PM 
entered January 09, 2017 at 07:42AM 
exited January 09, 2017 at 04:13PM 
entered January 10, 2017 at 07:37AM 
exited January 10, 2017 at 04:37PM 
entered January 11, 2017 at 07:39AM 
exited January 11, 2017 at 04:11PM 
entered January 12, 2017 at 07:40AM 
exited January 12, 2017 at 01:20PM 
entered January 13, 2017 at 08:05AM 
exited January 13, 2017 at 01:24PM 
entered January 23, 2017 at 07:37AM 
exited January 23, 2017 at 04:06PM 
entered January 24, 2017 at 07:45AM 
exited January 24, 2017 at 04:50PM 
entered January 25, 2017 at 07:37AM 
exited January 25, 2017 at 04:12PM 
entered January 26, 2017 at 07:36AM 
exited January 26, 2017 at 04:03PM 
entered January 27, 2017 at 07:38AM 
exited January 27, 2017 at 04:08PM 
entered January 30, 2017 at 07:40AM 
exited January 30, 2017 at 04:15PM 
entered January 31, 2017 at 07:44AM 
exited January 31, 2017 at 04:14PM 
entered February 06, 2017 at 08:20AM 
exited February 06, 2017 at 03:55PM 
entered February 07, 2017 at 07:57AM 
exited February 07, 2017 at 04:16PM 
entered February 08, 2017 at 07:41AM 
exited February 08, 2017 at 04:00PM 
entered February 09, 2017 at 07:39AM 
exited February 09, 2017 at 04:05PM 
entered February 10, 2017 at 07:40AM 
exited February 10, 2017 at 04:29PM 
entered February 13, 2017 at 07:47AM 
exited February 13, 2017 at 04:10PM 
entered February 14, 2017 at 07:35AM 
exited February 14, 2017 at 04:05PM 
entered February 15, 2017 at 07:37AM 
exited February 15, 2017 at 04:14PM 
entered February 16, 2017 at 07:35AM 
exited February 16, 2017 at 04:09PM 
entered February 17, 2017 at 07:40AM 
exited February 17, 2017 at 04:10PM 
entered February 20, 2017 at 07:30AM 
exited February 20, 2017 at 04:11PM 
entered February 21, 2017 at 07:36AM 
exited February 21, 2017 at 04:09PM 
entered February 22, 2017 at 07:30AM 
exited February 22, 2017 at 03:59PM 
entered February 23, 2017 at 07:32AM 
exited February 23, 2017 at 03:38PM 
entered February 24, 2017 at 07:38AM 
exited February 24, 2017 at 04:19PM 
entered February 27, 2017 at 07:28AM 
exited February 27, 2017 at 03:59PM 
entered February 28, 2017 at 07:42AM 
exited February 28, 2017 at 04:12PM 
entered March 01, 2017 at 07:43AM 
exited March 01, 2017 at 04:25PM 
entered March 02, 2017 at 07:33AM 
exited March 02, 2017 at 04:18PM 
entered March 03, 2017 at 07:34AM 
exited March 03, 2017 at 04:10PM 
entered March 06, 2017 at 07:30AM 
exited March 06, 2017 at 02:58PM 
entered March 07, 2017 at 07:41AM 
exited March 07, 2017 at 04:04PM 
